ミニトマト,43,1739,4,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,一番果が膨らみ始めたら、大さじ3杯くらいの化成肥料（チッ素N-リン酸P-カリK＝8‐8‐8）を土にまいて、土になじめます。以降は2~3週間に1度目安に、追肥しましょう。,veranda,pot,seedling,耐寒性
ひまわり,22,1021,4,flower,"7,8,9,10",TRUE,植付け時に元肥として緩効性肥料を施します。追肥は花が咲くまで2週間おきに化成肥料を施します。,outdoor,ground,seed,
バラ,12,622,3,flower,"3,4,5",TRUE,水はけがよく、有機質に富んだ土が適します。ブレンドする場合は、赤玉土（小粒）,outdoor,pot,seedling,
クリスマスローズ,8,425,2,flower,"1,2,12",TRUE,10月から11月初旬の生育が始まる時に、緩効性の化成肥料を施しましょう。10月から5月までの間、不足するようでしたら、リン酸分多い肥料や液肥で補いましょう。,outdoor,pot,seedling,"耐寒性,耐陰性"
キンカン,11,537,5,fruit,"3,4,5",TRUE,2月、5月、10月に有機質肥料化か速効性化成肥料を施します。,outdoor,pot,seedling,"柑橘類,木"
メセンの仲間,13,667,5,succulent,"1,2,3,4,5,6,7,8,9,10,11,11",TRUE,春から秋にかけて生育期に、緩効性の化成肥料か液体肥料を少量施します。,indoor,pot,complete,多肉植物
エケベリア,1,3,4,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期には緩効性の化成肥料か液体肥料を少量施します。,indoor,pot,complete,多肉植物
ゆず,13,683,5,fruit,"10,11,12",TRUE,庭植は3月と10月に、有機質肥料か即効性化成肥料を施します。,outdoor,ground,complete,
クラッスラ,13,685,4,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春に緩効性の化成肥料か液体肥料を少量施します。,indoor,pot,complete,"多肉植物,観葉植物"
桃(花),1,5,4,flower,"3,4,5",TRUE,2月から3月の落葉期に、緩効性化成肥料（チッ素N-リン酸P-カリK =10_10_10など）や有機質肥料（固形の油かすなど）を施します。また苗木のうちは花芽が出た後の9月にも同じ肥料を施してください。,outdoor,ground,complete,
チャイブ,12,622,4,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,植付けの数週間前に腐葉土、堆肥、有機質肥料（または緩効性肥料）を、また1週間前に苦土石灰をすきこんでおきましょう。,outdoor,pot,seedling,"ハーブ,草花,野菜"
サクラ,28,1287,4,flower,"3,4,5",TRUE,植え付け時に、植穴の底部に元肥として化成肥料を堆肥に混合していれ、軽く覆土しておきます。晩秋から冬にかけて株の周囲に何か所か穴を掘り、有機質肥料と緩効性肥料を混合したものを寒肥として穴の中へ施します。,outdoor,ground,seedling,
コーヒーの木,45,1788,3,plant,"3,4,5,6,7,8,9,10,11",TRUE,5月~9月にかけて、固形の緩効性化成肥料を2か月に1回ほど、株の生え際から少し話したところ置いて、水やりで徐々に溶け込んでいくようにします。,indoor,pot,seedling,観葉植物
イヌツゲ,32,1417,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,2月に有機質肥料を寒肥として株元に埋めておきます。,outdoor,ground,complete,
コスモス,14,748,5,flower,"3,4,5,6,7,8,9,10,11",TRUE,元肥として、緩効性化成肥料（N-P-K=6-40-15）を施すだけで十分,outdoor,ground,seedling,
五葉松,28,1287,2,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,梅雨時と真夏を除く4~9月の間、月1回有機性の固形肥料を置きます。,outdoor,pot,complete,盆栽
コスモス,16,813,5,flower,"3,4,5,6,7,8,9,10,11",TRUE,少ない肥料で十分なので、元肥として緩効性化成肥料（N-P-K-6-40-15）を施す。,outdoor,pot,seedling,
