ユッカ,28,1285,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性化成肥料を2か月に1回施します。,indoor,pot,complete,"常緑性,日陰でも育つ,観葉植物,つる性"
ポトス,14,749,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性化成肥料を2か月に1回施します。,indoor,pot,complete,"常緑性,日陰でも育つ,観葉植物"
ニラ,14,725,5,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,追肥と12月から1月にかけて株の周りに堆肥を5㎝くらいの暑さにまいておくと、翌春から株の生育が良くなります。,veranda,pot,seedling,何回か収穫
ナス,22,1024,4,vegetable,"7,8,9,10",TRUE,追肥は、植付けから2週間くらい1平方メートル当たり30ｇの化成肥料をまく、その後も2週間に1回のペースで行う。,veranda,pot,seedling,何回か収穫
コブシ,7,368,4,plant,"3,4,5",TRUE,若木の場合は、成長期の5月、充実期の9月中旬から下旬、休眠期の1月に、緩効性化成肥料や固形も油かすを施します。9月はチッ素分の少ないものを施してください。,outdoor,ground,complete,
ブルーベリー,9,472,5,fruit,"7,8,9,10",TRUE,3月に春肥を、5月、8月下旬に追肥を施します。N-P-K=8‐8‐8,outdoor,ground,seed,何回か収穫
キウイフルーツ,12,617,4,fruit,"10,11,12",TRUE,元肥を2月に、追肥を6月と9月に施します。N-P-K=8‐8‐8,veranda,pot,complete,何回か収穫
パパイヤ,8,442,3,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,春から秋の成長期に、チッ素、リン酸、カリの三要素が等量か、リン酸がやや多めの肥料を定量置き肥として施す。,outdoor,ground,complete,何回か収穫
白菜,8,430,4,vegetable,"1,2,12",TRUE,元肥を多めに施します。,outdoor,ground,seedling,何回か収穫
ネギ,9,480,4,vegetable,"1,2,12",TRUE,1㎡あたり化成肥料25ｇを施し軽く土寄せします。,outdoor,ground,seedling,何回か収穫
シソ,23,1070,5,vegetable,"7,8,9,10",FALSE,,outdoor,ground,seedling,
アグロステンマ,10,496,5,flower,"3,4,5",TRUE,10月から4月に緩効性化成肥料を施します。チッ素、リン酸、カリが10‐10‐10,veranda,pot,seedling,
ピーマン,20,907,4,vegetable,"7,8,9,10",TRUE,肥料不足にならないよう、追肥を施す。,veranda,pot,seedling,
ドラゴンフルーツ,12,632,3,fruit,"7,8,9,10",TRUE,春から秋の成長期にチッ素、リン酸、カリの三要素が等量か、リン酸がやや多めの肥料を規定量置き肥として施します。,indoor,pot,complete,
トウガラシ（観賞用）,47,1859,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,5月から9月の間、緩効性化成肥料（チッ素N-リン酸P-カリK=10_10_10）を施します。,outdoor,pot,complete,
クロッカス,10,512,5,flower,"1,2,12",TRUE,植え付けるときに少量の元肥と苦土石灰を用土に混ぜておきます。開花後は駛馬に追肥を施し、球根を太らせます,veranda,pot,bulb,
シャリンバイ,44,1777,5,flower,"3,4,5",TRUE,2月ごろに寒肥として有機質肥料を株元の周辺に埋めておきます。,outdoor,ground,complete,
ハボタン,11,535,5,plant,"1,2,3,4,5,11,12",TRUE,5月~9月には緩効性化成肥料を施し（N-P-K=10‐10‐10）10月上旬に液体肥料（N-P-K＝6-10‐5）を施します。,veranda,pot,complete,
フウセンカズラ,12,597,5,plant,"7,8,9,10",TRUE,元肥として緩効性化成肥料を土に混ぜておきます。,outdoor,ground,complete,
カランコエ,46,1830,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,5月~9月に緩効性化成肥料を、10月~12月に液体肥料を施します。,veranda,pot,complete,
カブ,10,500,3,vegetable,"3,4,5,6,7,8,9,10,11",TRUE,元肥のみ,outdoor,ground,seed,何回か収穫
スイカ,12,629,1,vegetable,"7,8,9,10",TRUE,定植の2週間前に苦土石灰を施して耕します。1週間前に堆肥と元肥を散布し耕し、床づくり、黒のポリマルチをしておきます。,outdoor,ground,seedling,何回か収穫
